Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_768.jpg;-2.976625;1;0;2.343771;101.8032;88.56078;1.316066;51.95743;-0.0003945208
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_818.jpg;-5.216114;1;0;2.373172;101.8633;88.63461;1.314276;51.65438;0.0004832029
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_867.jpg;-7.502505;1;0;2.414315;101.9565;88.74545;1.30682;50.8925;0.0004540321
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_917.jpg;-9.714479;1;0;2.441677;102.021;88.81899;1.299149;50.18435;359.9798
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_968.jpg;-11.99252;1;0;2.480614;102.1218;88.92785;1.263451;48.7969;359.9131
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_017.jpg;-14.20097;1;0;2.506886;102.1914;88.99898;1.205959;47.66263;359.854
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_067.jpg;-15;1;0;2.544731;102.3001;89.10269;1.060798;45.68672;359.7365
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_118.jpg;-15;1;0;2.570912;102.3752;89.1702;0.943785;44.32309;359.6351
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_167.jpg;-15;1;0;2.610081;102.4919;89.26912;0.7409468;42.26183;359.4603
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_217.jpg;-15;1;0;2.635927;102.5723;89.33336;0.5889931;40.8823;359.3303
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_268.jpg;-15;1;0;2.673949;102.6967;89.42699;0.3388248;38.81194;359.1207
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_317.jpg;-13.55997;1;0;2.698334;102.7821;89.48774;0.1620937;37.45913;358.9769
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_368.jpg;-11.30823;1;0;2.737921;102.9139;89.57838;359.943;35.70085;358.8111
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_418.jpg;-9.051461;1;0;2.758281;103.0048;89.64026;359.9215;34.75308;358.7974
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_467.jpg;-6.810726;1;0;2.803743;103.146;89.73368;0.02381052;33.5723;358.8569
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_517.jpg;-4.58569;1;0;2.829691;103.2419;89.79527;0.06546279;32.9442;358.9336
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_566.jpg;-2.336921;1;0;2.870699;103.3885;89.88776;0.1400096;32.30169;359.0598
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_617.jpg;-0.05231515;1;0;2.898607;103.488;89.95008;0.2121655;32.08067;359.1511
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_668.jpg;0;1;0;2.938458;103.6395;90.04519;0.362372;31.98553;359.3008
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_716.jpg;0;1;0;2.965048;103.742;90.10947;0.4866987;31.97244;359.404
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_766.jpg;0;1;0;3.004917;103.898;90.2072;0.7014454;31.97608;359.5636
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_817.jpg;0;1;0;3.031494;104.0033;90.27324;0.8587846;31.98569;359.6728
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_866.jpg;0;1;0;3.071381;104.163;90.3736;1.108569;32.00749;359.8392
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_917.jpg;0;1;0;3.097417;104.2704;90.44141;1.271011;32.03188;359.9597
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_44_968.jpg;0;1;0;3.13756;104.4336;90.54161;1.450699;32.00545;-0.0002187429
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_017.jpg;0;1;0;3.160023;104.5414;90.60765;1.419816;32.01541;-0.002664538
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_068.jpg;0;1;0;3.214372;104.7049;90.70837;1.365906;32.01276;-0.0007252199
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_118.jpg;0;1;0;3.240782;104.8152;90.7765;1.348931;32.00014;-0.000798713
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_167.jpg;0;1;0;3.280317;104.9827;90.88004;1.347772;31.97831;-0.0008963369
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_218.jpg;0;1;0;3.306638;105.0957;90.94989;1.360988;31.9635;-0.0009406435
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_267.jpg;0;1;0;3.346069;105.2671;91.05579;1.393983;31.94025;-0.001437914
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_317.jpg;0;1;0;3.372194;105.3823;91.12697;1.406357;31.92799;-0.001595383
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_368.jpg;0;1;0;3.412742;105.5567;91.23463;1.41012;31.91043;-0.001663228
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_417.jpg;0;1;0;3.439485;105.674;91.30701;1.406487;31.90109;-0.001655592
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_467.jpg;0;1;0;3.479846;105.8518;91.41663;1.405752;31.8878;-0.00106535
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_518.jpg;0;1;0;3.505347;105.9715;91.49036;1.406213;31.87457;-0.001613104
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_567.jpg;0;1;0;3.54474;106.1528;91.60201;1.409961;31.85698;-0.001631735
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_617.jpg;0;1;0;3.571142;106.2747;91.67708;1.410767;31.84708;-0.001176643
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_668.jpg;0;1;0;3.610716;106.4594;91.79069;1.415401;31.82822;-0.001551246
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_717.jpg;0;1;0;3.636258;106.5837;91.86709;1.418472;31.81714;-0.001207766
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_768.jpg;0;1;0;3.675231;106.7717;91.98264;1.421917;31.79918;-0.001217536
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_818.jpg;0;1;0;3.714078;106.8982;92.06029;1.421849;31.78605;-0.001697878
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_867.jpg;0;1;0;3.739798;107.0896;92.1778;1.427372;31.76872;-0.001231097
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_918.jpg;0;1;0;3.765465;107.2183;92.25671;1.427717;31.75491;-0.001720781
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_45_967.jpg;0;1;0;3.804022;107.4131;92.37614;1.433122;31.73701;-0.001256187
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_017.jpg;0;1;0;3.829552;107.5441;92.45633;1.43295;31.72296;-0.001741442
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_068.jpg;0;1;0;3.867902;107.7422;92.57763;1.437141;31.7047;-0.00126884
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_117.jpg;0;1;0;3.893291;107.8754;92.65911;1.440187;31.69117;-0.001279944
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_167.jpg;0;1;0;3.931436;108.0768;92.78223;1.441192;31.67115;-0.00129361
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_218.jpg;0;1;0;3.957063;108.2122;92.86497;1.445776;31.65612;-0.001669178
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_267.jpg;0;1;0;3.995008;108.4169;92.98994;1.446509;31.63562;-0.001688502
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_317.jpg;0;1;0;4.020123;108.5545;93.07389;1.448247;31.62165;-0.001689517
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_368.jpg;0;1;0;4.05716;108.7626;93.20074;1.452426;31.601;-0.001321906
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_417.jpg;0;1;0;4.08214;108.9023;93.2859;1.454378;31.58644;-0.001328099
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_468.jpg;0;1;0;4.11935;109.1137;93.41455;1.45876;31.56253;-0.001835568
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_517.jpg;0;1;0;4.144897;109.2556;93.50091;1.459472;31.54841;-0.00174189
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_567.jpg;0;1;0;4.181901;109.4702;93.63138;1.464477;31.52557;-0.001737356
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_618.jpg;0;1;0;4.20662;109.6144;93.71894;1.467023;31.50995;-0.001749048
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_667.jpg;0;1;0;4.243081;109.8322;93.85118;1.470232;31.48774;-0.001394458
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_717.jpg;0;1;0;4.267666;109.9785;93.9399;1.470325;31.47242;-0.001393177
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_46_768.jpg;0;1;0;4.304274;110.1996;94.07391;1.47501;31.44799;-0.001396116
